name, site_url, service_type_1, service_state, service_type_2, memo
강남역 10번 출구, http://exit10.me/, rails, ing,  ,
국민의 편지, http://assembly.email/, rails, ing,  ,
그루미, http://gurume.kr/, rails, ing,  ,
노일베, http://noilbe.com/, rails, ing,  ,
누구뽑지, http://whotovote.kr/, rails, ing,  ,
더누보, http://the-nuvo.com/, rails, ing,  ,
대나무숲, https://bamboofo.rest/, rails, ing,  ,
리멤버, https://rememberapp.co.kr, rails, ing,  ,
마이리얼트립, https://www.myrealtrip.com/, rails, ing,  ,
망고플레이트, http://www.mangoplate.com/, rails, ing,  ,
맺음, http://www.maezeum.net/, rails, ing,  ,
모아폼, http://www.moaform.com/, rails, ing,  ,
밸류포션, http://www.valuepotion.com/, rails, ing,  ,
배틀코믹스, http://www.battlecomics.co.kr/, rails, ing,  ,
볼링고, http://bollingo.com/, rails, ing,  ,
빙글, http://www.vingle.net/, rails, ing,  ,
산타 포 토익!, http://santatoeic.co/, rails, ing, backend, ([Android](https://goo.gl/6Ao55Z), [iOS](https://goo.gl/ptz6e9))
쇼미더머니, http://smtm5.xyz, rails, ing,  ,
수퍼 크리에이티브, http://www.supercreative.kr/, ruby, ing, backend,
스냅샵, https://gosnapshop.com/, rails, ing,  ,
스탬프팡, http://stampang.com/, rails, ing,  ,
스트라입스, https://stripes.co.kr/, rails, ing,  ,
셀잇, https://www.withsellit.com, rails, ing,  ,
아이노알바, http://www.iknowalba.com/, rails, ing,  ,
아이엠스쿨, http://www.iamschool.net/, rails, ing,  ,
아임8, http://www.im8.net/, rails, ing,  ,
왓챠, https://watcha.net/, rails, ing,  ,
오픈칼리지, https://www.opencollege.kr/, rails, ing,  ,
유에프오팩토리, http://ufofactory.org/, rails, ing,  ,
유저해빗, http://userhabit.io/, rails, ing,  ,
응답하라 국회의원, http://www.heycongress.org/, rails, ing,  ,
이음, http://www.i-um.com/, rails, ing,  ,
잇다, http://itdaa.net/, rails, ing,  ,
잡플래닛, https://www.jobplanet.co.kr/, rails, ing,  ,
정친, http://www.jungch.in/, rails, ing,  ,
증권플러스 인사이트, http://insight.stockplus.com/, rails, ing,  ,
채팅캣, http://chattingcat.com/, rails, ing,  ,
총선개표현황, http://vote.likelion.net/, rails, ing,  ,
카누, http://canoe.parti.xyz, rails, ing,  ,
카카오그룹, http://www.kakao.com/group, rails, ing,  ,
카카오아지트, https://agit.io, rails, ing,  ,
카카오톡, http://www.kakao.com/services/8, rails, ing,  ,
카카오택시, http://www.kakao.com/services/49, rails, ing,  ,
카카오플레이스, http://www.kakao.com/place, rails, ing,  ,
캐시슬라이드, http://www.cashslide.co.kr, rails, ing,  ,
코드라이언, http://codelion.net, rails, ing,  ,
크리마, http://cre.ma/, rails, ing, backend,
클레비, https://www.clebee.net/, rails, ing,  ,
터칭, http://www.mytouching.com/, rails, ing,  ,
텀블벅, https://www.tumblbug.com/, rails, ing,  ,
테이스트로그, https://tastelog.net/, rails, ing,  ,
토스, http://cosmiccolor.github.io/, rails, ing,  ,
투데잇, http://todait.com, rails, ing, backend, ([안드로이드](https://play.google.com/store/apps/details?id=com.autoschedule.proto))
트라이캣치, http://www.try-cat.ch/, rails, ing,  ,
파이브 락스, http://www.5rocks.io/, rails, ing,  ,
파크 히어, http://www.parkhere.co.kr, rails, ing,  ,
판교장터, https://medium.com/n42-corp, rails, ing,  ,
플러닝, http://flearning.net, rails, ing,  ,
플레인, http://www.kakao.com/services/44, rails, ing, backend,
해먹남녀, http://haemukja.com/, rails, ing,  ,
해시코드, http://hashcode.co.kr/, rails, ing,  ,
헬로월드, http://tryhelloworld.co.kr/, rails, ing,  ,
휴레이포지티브, http://www.huray.net/, rails, ing, backend,
라인와우, http://wow.line.me/, rails, shutdown,  ,
미투데이, http://me2day.net/, rails, shutdown,  ,
스프링노트, http://www.springnote.com/, rails, shutdown,  ,
야미스토리, http://yummystory.com/, rails, shutdown, backend,
에폴리아, http://www.epollia.com/, rails, shutdown,  ,
연두, http://yeondoo.kr/, rails, shutdown,  ,
이젤, http://eazel.co.kr/, rails, shutdown,  ,
팡요, http://pangyo.ca/, rails, shutdown,  ,
호텔박사, http://hotelbaksa.com/, rails, shutdown,  ,
리노트, http://riiid.co, rails, shutdown, backend,  
